"Points:0","Points:1","Points:2"
4.7894e+06,2.51e+05,0
4.8144e+06,2.5231e+05,0
4.8394e+06,2.5362e+05,0
4.8643e+06,2.5493e+05,0
4.8893e+06,2.5624e+05,0
4.9143e+06,2.5755e+05,0
4.9392e+06,2.5885e+05,0
4.9642e+06,2.6016e+05,0
4.9892e+06,2.6147e+05,0
5.0141e+06,2.6278e+05,0
5.0391e+06,2.6409e+05,0
5.0641e+06,2.654e+05,0
5.089e+06,2.667e+05,0
5.114e+06,2.6801e+05,0
5.1389e+06,2.6932e+05,0
5.1639e+06,2.7063e+05,0
5.1889e+06,2.7194e+05,0
5.2138e+06,2.7325e+05,0
5.2388e+06,2.7455e+05,0
5.2638e+06,2.7586e+05,0
5.2887e+06,2.7717e+05,0
5.3137e+06,2.7848e+05,0
5.3387e+06,2.7979e+05,0
5.3636e+06,2.811e+05,0
5.3886e+06,2.824e+05,0
5.4136e+06,2.8371e+05,0
5.4385e+06,2.8502e+05,0
5.4635e+06,2.8633e+05,0
5.4885e+06,2.8764e+05,0
5.5134e+06,2.8895e+05,0
5.5384e+06,2.9026e+05,0
5.5634e+06,2.9156e+05,0
5.5883e+06,2.9287e+05,0
5.6133e+06,2.9418e+05,0
5.6383e+06,2.9549e+05,0
5.6632e+06,2.968e+05,0
5.6882e+06,2.9811e+05,0
5.7132e+06,2.9941e+05,0
5.7381e+06,3.0072e+05,0
5.7631e+06,3.0203e+05,0
5.7881e+06,3.0334e+05,0
5.813e+06,3.0465e+05,0
5.838e+06,3.0596e+05,0
5.863e+06,3.0726e+05,0
5.8879e+06,3.0857e+05,0
5.9129e+06,3.0988e+05,0
5.9379e+06,3.1119e+05,0
5.9628e+06,3.125e+05,0
5.9878e+06,3.1381e+05,0
6.0127e+06,3.1511e+05,0
6.0377e+06,3.1642e+05,0
6.0627e+06,3.1773e+05,0
6.0876e+06,3.1904e+05,0
6.1126e+06,3.2035e+05,0
6.1376e+06,3.2166e+05,0
6.1625e+06,3.2297e+05,0
6.1875e+06,3.2427e+05,0
6.2125e+06,3.2558e+05,0
6.2374e+06,3.2689e+05,0
6.2624e+06,3.282e+05,0
6.2874e+06,3.2951e+05,0
6.3123e+06,3.3082e+05,0
6.3373e+06,3.3212e+05,0
6.3623e+06,3.3343e+05,0
3.4645e+06,2.119e+05,0
3.4895e+06,2.1343e+05,0
3.5144e+06,2.1495e+05,0
3.5394e+06,2.1648e+05,0
3.5643e+06,2.18e+05,0
3.5893e+06,2.1953e+05,0
3.6142e+06,2.2106e+05,0
3.6392e+06,2.2258e+05,0
3.6642e+06,2.2411e+05,0
3.6891e+06,2.2564e+05,0
3.7141e+06,2.2716e+05,0
3.739e+06,2.2869e+05,0
3.764e+06,2.3021e+05,0
3.7889e+06,2.3174e+05,0
3.8139e+06,2.3327e+05,0
3.8388e+06,2.3479e+05,0
3.8638e+06,2.3632e+05,0
3.8887e+06,2.3785e+05,0
3.9137e+06,2.3937e+05,0
3.9386e+06,2.409e+05,0
3.9636e+06,2.4242e+05,0
3.9885e+06,2.4395e+05,0
4.0135e+06,2.4548e+05,0
